Policy_Number,Premium_Written,Premium_Earned,Premium_Unearned,State_of_Coverage,Line_of_Business,Effective_Date,Expiration_Date,Commission_Rate,New_or_Renewal,Agent_Name,State_Tax_Rate,Commission_Basis,Reinsurance_premium_rate
CA10000204703,0,66.28,0.0,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ACRISURE LLC,0.036000000000000004,WRITTEN,0.8
CA10000204703,0,5979.55,0.0,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ACRISURE LLC,0.036000000000000004,WRITTEN,0.8
CA10000204703,0,3154.39,0.0,GA,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,ACRISURE LLC,0.036000000000000004,WRITTEN,0.8
CA10000204704,18712,6237.33,12474.67,GA,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ACRISURE LLC,0.036000000000000004,WRITTEN,0.8
CA10000204704,5708,1902.67,3805.33,GA,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ACRISURE LLC,0.036000000000000004,WRITTEN,0.8
CA10000204704,193,64.33,128.67,GA,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,ACRISURE LLC,0.036000000000000004,WRITTEN,0.8
CA10000205303,0,54.61,0.0,TN,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8
CA10000205303,0,695.84,0.0,TN,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.0
CA10000205303,0,4465.05,0.0,TN,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.0
CA10000205304,1350,450.0,900.0,TN,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.0
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.0
CA10000205304,156,52.0,104.0,TN,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.0
CA10000208603,0,2050.29,0.0,OH,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,BYRNE INSURANCE AGENCY INC,0.025,WRITTEN,0.0
CA10000208603,0,20.68,0.0,OH,COMMERCIAL AUTOMOBILE,6/1/2018,6/1/2019,0.0015,R,BYRNE INSURANCE AGENCY INC,0.025,WRITTEN,0.0
CA10000208604,50,16.67,33.33,OH,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,BYRNE INSURANCE AGENCY INC,0.025,WRITTEN,0.0
CA10000208604,5043,1681.0,3362.0,OH,COMMERCIAL AUTOMOBILE,6/1/2019,6/1/2020,0.0015,R,BYRNE INSURANCE AGENCY INC,0.025,WRITTEN,0.0
CA10000211703,220,337.37,-117.37,PA,COMMERCIAL AUTOMOBILE,6/3/2018,6/3/2019,0.0015,R,GCM INSURANCE AGENCY LLC/AMORY,0.039,WRITTEN,0.0
CA10000211703,381,994.68,-613.68,PA,COMMERCIAL AUTOMOBILE,6/3/2018,6/3/2019,0.0015,R,GCM INSURANCE AGENCY LLC/AMORY,0.039,WRITTEN,0.0
CA10000211704,2398,786.23,1611.77,PA,COMMERCIAL AUTOMOBILE,6/3/2019,6/3/2020,0.0015,R,GCM INSURANCE AGENCY LLC/AMORY,0.039,WRITTEN,0.0
CA10000211704,955,313.11,641.89,PA,COMMERCIAL AUTOMOBILE,6/3/2019,6/3/2020,0.0015,R,GCM INSURANCE AGENCY LLC/AMORY,0.039,WRITTEN,0.0
CA10000214103,0,245.24,0.0,IN,COMMERCIAL AUTOMOBILE,6/17/2018,6/17/2019,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/2019,6/17/2020,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6
CA10000214903,0,49.97,0.0,OH,COMMERCIAL AUTOMOBILE,6/2/2018,6/2/2019,0.0015,R,SOUTHGROUP INS & FIN SVS/GREENWOOD1,0.025,WRITTEN,0.0
CA10000214903,0,867.02,-867.02,OH,COMMERCIAL AUTOMOBILE,6/2/2018,6/2/2019,0.0015,R,SOUTHGROUP INS & FIN SVS/GREENWOOD1,0.025,WRITTEN,0.0
CA10000214904,2179,720.38,1458.62,OH,COMMERCIAL AUTOMOBILE,6/2/2019,6/2/2020,0.0015,R,SOUTHGROUP INS & FIN SVS/GREENWOOD1,0.025,WRITTEN,0.0
CA10000214904,120,39.67,80.33,OH,COMMERCIAL AUTOMOBILE,6/2/2019,6/2/2020,0.0015,R,SOUTHGROUP INS & FIN SVS/GREENWOOD1,0.025,WRITTEN,0.0
CA10000215003,0,261.46,0.0,NC,COMMERCIAL AUTOMOBILE,6/8/2018,6/8/2019,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0.0
CA10000215003,0,185.27,0.0,NC,COMMERCIAL AUTOMOBILE,6/8/2018,6/8/2019,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0.0
CA10000215004,645,202.66,442.34,NC,COMMERCIAL AUTOMOBILE,6/8/2019,6/8/2020,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0.0
CA10000215004,415,130.4,284.6,NC,COMMERCIAL AUTOMOBILE,6/8/2019,6/8/2020,0.0015,R,SMITH INSURANCE AGENCY INC,0.04,WRITTEN,0.0
CA10000215103,0,296.52,0.0,IL,COMMERCIAL AUTOMOBILE,6/24/2018,6/24/2019,0.0015,R,RENASANT INSURANCE INC,0.026000000000000002,WRITTEN,0.0
CA10000215103,0,160.18,0.0,IL,COMMERCIAL AUTOMOBILE,6/24/2018,6/24/2019,0.0015,R,RENASANT INSURANCE INC,0.026000000000000002,WRITTEN,0.0
CA10000215104,326,88.18,237.82,IL,COMMERCIAL AUTOMOBILE,6/24/2019,6/24/2020,0.0015,R,RENASANT INSURANCE INC,0.026000000000000002,WRITTEN,0.0
CA10000215104,622,168.25,453.75,IL,COMMERCIAL AUTOMOBILE,6/24/2019,6/24/2020,0.0015,R,RENASANT INSURANCE INC,0.026000000000000002,WRITTEN,0.0
