Policy_Number,Premium_Written,Premium_Earned,Premium_Unearned,State_of_Coverage_x,Line_of_Business,Effective_Date,Expiration_Date,Commission_Rate,New_or_Renewal,Agent_Name,State_Tax_Rate,Commission_Basis,Reinsurance_premium_rate,State_of_Coverage_y
CA10000205303,0,54.61,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8,Ala.
CA10000205303,0,54.61,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8,Ga.
CA10000205303,0,54.61,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8,Hawaii (c)
CA10000205303,0,54.61,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8,La.
CA10000205303,0,54.61,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8,Mo.
CA10000205303,0,54.61,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8,N.Y.
CA10000205303,0,54.61,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0.8,Wyo.
CA10000205303,0,695.84,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ala.
CA10000205303,0,695.84,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ga.
CA10000205303,0,695.84,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Hawaii (c)
CA10000205303,0,695.84,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,La.
CA10000205303,0,695.84,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Mo.
CA10000205303,0,695.84,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,N.Y.
CA10000205303,0,695.84,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Wyo.
CA10000205303,0,4465.05,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ala.
CA10000205303,0,4465.05,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ga.
CA10000205303,0,4465.05,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Hawaii (c)
CA10000205303,0,4465.05,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,La.
CA10000205303,0,4465.05,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Mo.
CA10000205303,0,4465.05,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,N.Y.
CA10000205303,0,4465.05,0,TN,COMMERCIAL AUTOMOBILE,6/1/18,6/1/19,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Wyo.
CA10000205304,1350,450,900,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ala.
CA10000205304,1350,450,900,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ga.
CA10000205304,1350,450,900,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Hawaii (c)
CA10000205304,1350,450,900,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,La.
CA10000205304,1350,450,900,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Mo.
CA10000205304,1350,450,900,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,N.Y.
CA10000205304,1350,450,900,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Wyo.
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ala.
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ga.
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Hawaii (c)
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,La.
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Mo.
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,N.Y.
CA10000205304,11344,3781.33,7562.67,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Wyo.
CA10000205304,156,52,104,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ala.
CA10000205304,156,52,104,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Ga.
CA10000205304,156,52,104,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Hawaii (c)
CA10000205304,156,52,104,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,La.
CA10000205304,156,52,104,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Mo.
CA10000205304,156,52,104,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,N.Y.
CA10000205304,156,52,104,TN,COMMERCIAL AUTOMOBILE,6/1/19,6/1/20,0.0015,R,FILER INSURANCE INC,0.04,WRITTEN,0,Wyo.
CA10000214103,0,245.24,0,IN,COMMERCIAL AUTOMOBILE,6/17/18,6/17/19,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8,Ala.
CA10000214103,0,245.24,0,IN,COMMERCIAL AUTOMOBILE,6/17/18,6/17/19,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8,Ga.
CA10000214103,0,245.24,0,IN,COMMERCIAL AUTOMOBILE,6/17/18,6/17/19,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8,Hawaii (c)
CA10000214103,0,245.24,0,IN,COMMERCIAL AUTOMOBILE,6/17/18,6/17/19,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8,La.
CA10000214103,0,245.24,0,IN,COMMERCIAL AUTOMOBILE,6/17/18,6/17/19,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8,Mo.
CA10000214103,0,245.24,0,IN,COMMERCIAL AUTOMOBILE,6/17/18,6/17/19,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8,N.Y.
CA10000214103,0,245.24,0,IN,COMMERCIAL AUTOMOBILE,6/17/18,6/17/19,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.8,Wyo.
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/19,6/17/20,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6,Ala.
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/19,6/17/20,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6,Ga.
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/19,6/17/20,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6,Hawaii (c)
CA10000214104,536,155.23,380.77,IN,COMMERCIAL AUTOMOBILE,6/17/19,6/17/20,0.0015,R,RSC INSURANCE BROKERAGE INC,0.04,WRITTEN,0.6,La.
